attendance_id,employee_id,attendance_date,hours_worked
1,352,2025-11-04 14:05:26.438230,8.0
2,927,2026-02-05 14:05:26.438273,9.0
3,734,2026-02-24 14:05:26.438282,10.0
4,1149,2026-05-14 14:05:26.438288,5.0
5,900,2025-06-12 14:05:26.438293,6.0
6,589,2025-08-30 14:05:26.438299,9.0
7,17,2026-02-21 14:05:26.438304,3.0
8,819,2025-06-26 14:05:26.438309,9.0
9,619,2026-05-05 14:05:26.438314,4.0
10,680,2026-02-02 14:05:26.438320,5.0
11,970,2026-01-13 14:05:26.438324,2.0
12,1038,2025-10-05 14:05:26.438329,0.0
13,5,2025-07-19 14:05:26.438334,6.0
14,483,2025-10-18 14:05:26.438339,2.0
15,525,2025-07-02 14:05:26.438344,7.0
16,383,2025-11-12 14:05:26.438348,8.0
17,619,2025-10-24 14:05:26.438353,3.0
32,704,2025-08-02 14:05:26.438358,5.0
19,679,2025-11-24 14:05:26.438364,8.0
20,1105,2026-01-23 14:05:26.438368,0.0
21,562,2025-07-21 14:05:26.438373,6.0
22,1148,2026-04-26 14:05:26.438391,9.0
23,614,2026-01-27 14:05:26.438397,7.0
24,987,2026-01-03 14:05:26.438403,3.0
25,684,2025-10-21 14:05:26.438408,3.0
26,249,2025-11-10 14:05:26.438415,10.0
27,270,2025-07-06 14:05:26.438420,10.0
28,349,2025-12-05 14:05:26.438424,7.0
29,1093,2025-12-23 14:05:26.438429,5.0
30,839,2026-02-12 14:05:26.438435,3.0
31,202,2025-09-25 14:05:26.438441,8.0
32,363,2026-04-14 14:05:26.438447,3.0
33,1136,2025-11-30 14:05:26.438452,0.0
34,940,2025-08-21 14:05:26.438460,5.0
183,966,2026-06-03 14:05:26.438465,6.0
36,231,2026-03-07 14:05:26.438471,10.0
37,151,2025-12-16 14:05:26.438478,3.0
38,961,2026-02-14 14:05:26.438484,0.0
39,1048,2025-11-17 14:05:26.438491,4.0
40,917,2025-10-20 14:05:26.438497,
41,758,2025-11-20 14:05:26.438502,3.0
42,774,2025-10-06 14:05:26.438509,1.0
43,462,2025-09-30 14:05:26.438515,2.0
44,1062,2025-06-27 14:05:26.438522,1.0
45,989,2025-12-08 14:05:26.438527,9.0
46,816,2025-09-06 14:05:26.438532,7.0
47,263,2025-11-24 14:05:26.438537,6.0
48,280,2025-12-07 14:05:26.438542,5.0
164,727,2026-03-10 14:05:26.438546,10.0
50,702,2026-02-04 14:05:26.438554,
51,135,2025-08-19 14:05:26.438558,10.0
52,275,2026-05-12 14:05:26.438563,9.0
53,972,2025-09-30 14:05:26.438567,2.0
54,216,2026-01-17 14:05:26.438573,7.0
55,232,2026-01-01 14:05:26.438577,0.0
56,1095,2026-03-28 14:05:26.438582,7.0
57,352,2026-06-07 14:05:26.438586,1.0
58,202,2026-05-15 14:05:26.438592,7.0
59,807,2025-12-04 14:05:26.438598,0.0
60,946,2026-01-27 14:05:26.438604,1.0
61,1115,2026-03-11 14:05:26.438609,6.0
62,1020,2026-01-28 14:05:26.438614,10.0
63,1069,2026-01-06 14:05:26.438619,7.0
64,854,2026-05-12 14:05:26.438624,5.0
65,36,2026-01-12 14:05:26.438629,3.0
66,236,2026-01-02 14:05:26.438638,5.0
67,482,2026-01-07 14:05:26.438644,5.0
68,504,2026-02-26 14:05:26.438648,5.0
